School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,07334,4,9,247,3
2022-2023,18276,21,38,923,11
2022-2023,21760,9,17,634,7
2022-2023,10085,16,24,421,3
2022-2023,02053,17,44,1762,9
2022-2023,27223,12,17,366,6
2022-2023,08413,8,19,661,6
2022-2023,11108,32,70,2440,11
2022-2023,02760,10,20,558,9
2022-2023,16005,11,20,563,10
2022-2023,02799,3,9,159,3
2022-2023,27490,14,23,647,12
2022-2023,12458,55,80,2617,15
2022-2023,14963,1,6,244,1
2022-2023,11703,8,12,382,5
2022-2023,28597,3,9,327,3
2022-2023,20875,15,58,2212,12
2022-2023,11509,2,6,212,2
2022-2023,20553,13,13,353,4
2022-2023,27124,37,109,3857,23
2022-2023,09028,64,128,4382,15
2022-2023,30738,2,6,242,2
2022-2023,18272,19,46,1263,17
2022-2023,16563,9,17,638,8
2022-2023,31414,7,13,313,5
2022-2023,02835,15,18,551,9
2022-2023,16267,6,12,340,3
2022-2023,24742,2,3,92,2
2022-2023,13687,20,33,977,14
2022-2023,22109,39,92,3041,15
2022-2023,31025,108,108,1772,5
2022-2023,15879,2,2,18,2
2022-2023,31492,15,22,520,10
2022-2023,15404,115,201,6717,23
2022-2023,26208,34,90,3143,24
2022-2023,23599,25,34,1219,17
2022-2023,16627,14,27,949,12
2022-2023,31908,102,104,1825,14
2022-2023,18567,6,12,346,5
2022-2023,19279,14,26,847,10
2022-2023,27253,11,13,430,8
2022-2023,07065,15,36,988,7
2022-2023,24071,6,16,621,4
2022-2023,25200,28,38,879,15
2022-2023,16335,10,30,884,7
2022-2023,24066,15,27,696,7
2022-2023,27314,3,7,259,2
2022-2023,26513,283,290,5905,14
2022-2023,04404,103,147,4328,18
2022-2023,16564,12,14,461,6
2022-2023,25079,20,58,2154,15
2022-2023,28511,17,26,884,13
2022-2023,28600,37,37,333,2
2022-2023,22700,3,4,110,2
2022-2023,14547,1,2,80,1
2022-2023,24024,1,2,50,1
2022-2023,23460,1,3,100,1
2022-2023,08015,6,6,166,6
2022-2023,25281,7,14,444,5
2022-2023,16568,7,17,600,5
2022-2023,23401,4,7,214,4
2022-2023,09449,25,31,692,10
2022-2023,12251,3,10,275,2
2022-2023,10023,17,35,765,5
2022-2023,10344,32,32,738,19
2022-2023,17862,36,42,629,10
2022-2023,31020,27,43,1372,14
2022-2023,10460,1,2,21,1
2022-2023,10159,65,67,1856,14
2022-2023,31649,225,259,4860,10
2022-2023,20030,5,17,608,3
2022-2023,21690,8,26,934,7
2022-2023,16081,22,24,788,14
2022-2023,30778,2,18,770,1
2022-2023,10540,6,8,204,5
2022-2023,24409,12,16,315,4
2022-2023,03452,10,13,401,6
2022-2023,26993,2,2,15,2
2022-2023,31011,9,13,373,7
2022-2023,02042,53,53,1587,12
2022-2023,20810,3,6,140,3
2022-2023,03384,6,14,435,5
2022-2023,19677,13,13,369,4
2022-2023,09163,37,54,1598,12
2022-2023,26817,3,4,91,3
2022-2023,06052,6,26,403,4
2022-2023,07155,7,11,230,5
2022-2023,07052,4,8,211,3
2022-2023,25720,6,18,649,6
2022-2023,02089,10,10,290,7
2022-2023,07401,6,12,427,6
2022-2023,30204,9,23,669,6
2022-2023,27302,7,9,295,5
2022-2023,24087,33,53,1621,17
2022-2023,20784,10,11,230,8
2022-2023,08100,6,12,344,6
2022-2023,13003,7,10,329,6
2022-2023,19214,53,76,2431,33
2022-2023,20802,2,3,103,2
2022-2023,21801,3,3,117,1
2022-2023,31080,27,58,859,8
2022-2023,11270,12,24,741,9
2022-2023,13875,7,14,517,7
2022-2023,13011,290,314,11412,12
2022-2023,11741,1,2,66,1
2022-2023,29268,32,57,1749,14
2022-2023,05534,2,6,189,2
2022-2023,31013,68,118,3934,14
2022-2023,14017,19,28,785,18
2022-2023,28069,7,15,292,5
2022-2023,06324,2,4,119,2
2022-2023,23363,12,19,459,10
2022-2023,07029,18,36,1321,12
2022-2023,03448,9,24,726,8
2022-2023,13287,3,6,198,3
