SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
02M543,113,,,,,,,,,61,33,9,10,S,11,63,32,S,S,S,29,6,S,6,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M544,141,,,,,,,,,29,53,42,17,S,T,94,32,S,7,,48,14,9,9,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
02M545,252,,,,,,,,,50,56,70,76,S,236,T,S,S,S,S,10,70,S,30,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M546,190,,,,,,,,,56,43,39,52,S,29,89,46,S,18,S,42,9,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M550,T,,,,,,,,,T,T,T,T,,T,T,T,,T,,S,T,T,T,S,,,,,,,,,S,S,S,S,,,S,S,,S,,S,S,S,S
02M551,126,,,,,,,,,47,32,28,19,S,S,30,18,9,57,S,30,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M560,168,,,,,,,,,,S,95,S,S,S,86,43,S,30,,61,13,6,10,S,,,,,,,,,,S,S,S,S,S,S,S,S,S,,S,S,S,S
02M565,44,,,,,,,,,S,10,22,S,S,S,11,11,S,18,,9,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
02M570,109,,,,,,,,,7,19,55,28,S,S,72,28,S,S,,23,T,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
02M575,151,,,,,,,,,,111,29,11,S,17,73,56,S,S,,8,104,6,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S,,S,S,S,S
02M580,164,,,,,,,,,95,40,15,14,S,26,75,35,S,T,S,24,S,S,7,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M586,40,,,,,,,,,18,6,T,S,S,S,22,9,S,S,,11,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
